z_km,mix_CH5+,mix_C3Hn+,mix_H3+
1946,0.0,0.0,1.0
1956,0.0,0.0,1.0
1966,0.0,0.0,1.0
1976,0.0,0.0,1.0
1986,0.0,0.0,1.0
1996,0.0,0.0,1.0
2006,0.0,0.0,1.0
2016,0.0,0.0,1.0
2026,0.0,0.0,1.0
2036,0.0,0.0,1.0
2046,0.0,0.0,1.0
2056,0.0,0.0,1.0
2066,0.0,0.0,1.0
2076,0.0,0.0,1.0
2086,0.0,0.0,1.0
2096,0.0,0.0,1.0
2107,0.0,0.0,1.0
2117,0.0,0.0,1.0
2127,0.0,0.0,1.0
2137,0.0,0.0,1.0
2147,0.0,0.0,1.0
2157,0.0,0.0,1.0
2167,0.0,0.0,1.0
2177,0.0,0.0,1.0
2187,0.0,0.0,1.0
2197,0.0,0.0,1.0
2207,0.0,0.0,1.0
2217,0.0,0.0,1.0
2227,0.0,0.0,1.0
2237,0.0,0.0,1.0
2247,0.0,0.0,1.0
2257,0.0,0.0,1.0
2267,0.0,0.0,1.0
2277,0.0,0.0,1.0
2287,0.0,0.0,1.0
2297,0.0,0.0,1.0
2307,0.0,0.0,1.0
2317,0.0,0.0,1.0
2327,0.0,0.0,1.0
2337,0.0,0.0,1.0
2347,0.0,0.0,1.0
2357,0.0,0.0,1.0
2367,0.0,0.0,1.0
2377,0.0,0.0,1.0
2387,0.0,0.0,1.0
2397,0.0,0.0,1.0
2408,0.0,0.0,1.0
2418,0.0,0.0,1.0
2428,0.0,0.0,1.0
2438,0.0,0.0,1.0
2448,0.0,0.0,1.0
2458,0.0,0.0,1.0
2468,0.0,0.0,1.0
2478,0.0,0.0,1.0
2488,0.0,0.0,1.0
2498,0.0,0.0,1.0
2508,0.0,0.0,1.0
2518,0.0,0.0,1.0
2528,0.0,0.0,1.0
2538,0.0,0.0,1.0
2548,0.0,0.0,1.0
2558,0.0,0.0,1.0
2568,0.0,0.0,1.0
2578,0.0,0.0,1.0
2588,0.0,0.0,1.0
2598,0.0,0.0,1.0
2608,0.0,0.0,1.0
2618,0.0,0.0,1.0
2628,0.0,0.0,1.0
2638,0.0,0.0,1.0
2648,0.0,0.0,1.0
2658,0.0,0.0,1.0
2668,0.0,0.0,1.0
2678,0.0,0.0,1.0
2688,0.0,0.0,1.0
2698,0.0,0.0,1.0
2709,0.0,0.0,1.0
2719,0.0,0.0,1.0
2729,0.0,0.0,1.0
2739,0.0,0.0,1.0
2749,0.0,0.0,1.0
2759,0.0,0.0,1.0
2769,0.0,0.0,1.0
2779,0.0,0.0,1.0
2789,0.0,0.0,1.0
2799,0.0,0.0,1.0
2809,0.0,0.0,1.0
2819,0.0,0.0,1.0
2829,0.0,0.0,1.0
2839,0.0,0.0,1.0
2849,0.0,0.0,1.0
2859,0.0,0.0,1.0
2869,0.0,0.0,1.0
2879,0.0,0.0,1.0
2889,0.0,0.0,1.0
2899,0.0,0.0,1.0
2909,0.0,0.0,1.0
2919,0.0,0.0,1.0
2929,0.0,0.0,1.0
2939,0.0,0.0,1.0
2949,0.0,0.0,1.0
2959,0.0,0.0,1.0
2969,0.0,0.0,1.0
2979,0.0,0.0,1.0
2989,0.0,0.0,1.0
3000,0.0,0.0,1.0
